285771,10532-2204,Westchester,Hawthorne,NY,United States,10532
74000,10018-2926,New York,Manhattan,NY,United States,10018
298696,11215-2946,Kings,Brooklyn,NY,United States,11215
240963,10303-2032,Richmond,Staten Island,NY,United States,10303
24212,10035-3813,Bronx,Wards Island,NY,United States,10035
66700,10710-3704,Westchester,Tuckahoe,NY,United States,10710
106403,11232-1303,Kings,Brooklyn,NY,United States,11232
168256,11357-3953,Queens,Queens,NY,United States,11357
69578,10451-6101,Bronx,Bronx,NY,United States,10451
43577,11213-2937,Kings,Brooklyn,NY,United States,11213
187221,10010-4624,New York,Manhattan,NY,United States,10010
107868,11211-8126,Kings,Brooklyn,NY,United States,11211
65602,11205-2780,Kings,Brooklyn,NY,United States,11205
24334,10453-1749,Bronx,University Heights,NY,United States,10453
145417,07030-2833,Hudson,Hoboken,NJ,United States,07030
238817,11050-4698,Nassau,Roslyn,NY,United States,11050
303891,11237-1761,Kings,Brooklyn,NY,United States,11237
213015,11204-4302,Kings,Brooklyn,NY,United States,11204
236593,10570-2185,Westchester,Pleasantville,NY,United States,10570
240841,10309-2119,Richmond,Staten Island,NY,United States,10309
69262,10803-2142,Westchester,Mount Vernon,NY,United States,10803
304815,07632-1913,Bergen,Englewood Cliffs,NJ,United States,07632
75952,10003-2385,New York,Manhattan,NY,United States,10003
288967,11355-4775,Queens,Queens,NY,United States,11355
7383,11510-2763,Nassau,Baldwin,NY,United States,11510
12629,11572-5423,Nassau,Oceanside,NY,United States,11572
257771,10309-2027,Richmond,Staten Island,NY,United States,10309
290552,11413-4417,Queens,Queens,NY,United States,11413
12140,11530-2652,Nassau,Roosevelt Field,NY,United States,11530
57447,12542-6525,Putnam,New Hamburg,NY,United States,12542
285692,10913-1525,Rockland,Blauvelt,NY,United States,10913
55617,11733-1632,Suffolk,Old Field,NY,United States,11733
240597,10308-2068,Richmond,Staten Island,NY,United States,10308
236937,10312-1612,Richmond,Staten Island,NY,United States,10312
287644,11201-3384,Kings,Brooklyn Heights,NY,United States,11201
57446,11757-2827,Suffolk,Lindenhurst,NY,United States,11757
86227,10472-6141,Bronx,Trinity,NY,United States,10472
287991,11436-1110,Queens,Queens,NY,United States,11436
106526,11237-4817,Kings,Brooklyn,NY,United States,11237
275690,10025-5328,New York,Manhattan,NY,United States,10025
9091,11530-1406,Nassau,Garden South,NY,United States,11530
7505,11559-1409,Nassau,Meadowmere Park,NY,United States,11559
288674,11216-2064,Kings,Brooklyn,NY,United States,11216
438,10018-1436,New York,Manhattan,NY,United States,10018
104573,11212-1300,Kings,Brooklyn,NY,United States,11212
107257,11215-5003,Kings,Brooklyn,NY,United States,11215
185756,10025-6897,New York,Manhattan,NY,United States,10025
219237,11219-3295,Kings,Brooklyn,NY,United States,11219
275203,10010-4207,New York,Manhattan,NY,United States,10010
107013,11216-1401,Kings,Brooklyn,NY,United States,11216
275594,11378-2214,Queens,Maspeth,NY,United States,11378
9701,11576-2903,Nassau,Manhasset Hills,NY,United States,11576
212405,11205-4528,Kings,Brooklyn,NY,United States,11205
239987,10310-2005,Richmond,Staten Island,NY,United States,10310
36745,11220-5330,Kings,Brooklyn,NY,United States,11220
51347,11385-4114,Kings,Queens,NY,United States,11385
165084,11413-3459,Queens,Queens,NY,United States,11413
69018,10570-1412,Westchester,Chappaqua,NY,United States,10570
135672,10011-5196,New York,Manhattan,NY,United States,10011
85984,11208-1208,Kings,Brooklyn,NY,United States,11208
106256,10466-6125,Westchester,Bronx,NY,United States,10466
63681,10017-1546,New York,Manhattan,NY,United States,10017
294914,11219-1952,Kings,Brooklyn,NY,United States,11219
260457,10312-3943,Richmond,Staten Island,NY,United States,10312
29215,10460-4318,Bronx,West Farms,NY,United States,10460
286381,10709-5437,Westchester,Yonkers,NY,United States,10709
118323,11207-2728,Kings,Brooklyn,NY,United States,11207
263214,11102-2066,Queens,Queens,NY,United States,11102
124012,10467-4862,Bronx,Bronx,NY,United States,10467
41992,11201-5060,Kings,Brooklyn,NY,United States,11201
271673,10017-1539,New York,Manhattan,NY,United States,10017
119177,11217-4032,Kings,Brooklyn,NY,United States,11217
257986,11217-2026,Kings,Brooklyn,NY,United States,11217
92679,10460-1307,Bronx,West Farms,NY,United States,10460
33609,07024-1739,Hudson,Fort Lee,NJ,United States,07024
11897,11010-2020,Nassau,Franklin Square,NY,United States,11010
296514,11220-4020,Kings,Brooklyn,NY,United States,11220
212284,11238-7406,Kings,Brooklyn,NY,United States,11238
152828,10538-1449,Westchester,Mamaroneck,NY,United States,10538
261187,10306-2389,Richmond,Staten Island,NY,United States,10306
65410,10801-1211,Westchester,New Rochelle,NY,United States,10801
106244,07666-6344,Bergen,West Englewood,NJ,United States,07666
71674,10028-2712,New York,Manhattan,NY,United States,10028
100971,11358-2537,Queens,Queens,NY,United States,11358
14460,11576-2535,Nassau,Greenvale,NY,United States,11576
